0,-0.91537058353424,-0.05643732473254,10,5,3,0,3,1,3.09999990463257,SRID=4326;POINT(120.77665525927024 31.59362167289489)
1,-0.93522763252258,-0.10311943292618,3,5,3,0,3,1,3.5,SRID=4326;POINT(120.77747925898797 31.59269756517047)
2,-0.96695959568024,-0.05158204212785,10,5,3,0,3,1,3.5,SRID=4326;POINT(120.77782036991445 31.59230586405732)
3,-0.96571159362793,-0.36592647433281,3,5,3,0,3,1,3.5,SRID=4326;POINT(120.77876112473683 31.59116388795362)
4,-0.98248261213303,-0.16884323954582,10,5,3,0,3,1,3.5,SRID=4326;POINT(120.77906799570667 31.5907826337542)
5,-0.99595761299133,-0.01222732756287,3,5,3,0,3,1,3.5,SRID=4326;POINT(120.78018284825389 31.58939209818111)
6,2.28299045562744,0.09347242861986,10,3,3,0,3,1,3.5,SRID=4326;POINT(120.77496473663896 31.58917124707729)
8,2.15886640548706,0.01074955519289,10,5,3,0,3,1,3.5,SRID=4326;POINT(120.77205485755523 31.59214508740078)
9,0.63531839847565,0.56181681156158,10,2,3,2,3,1,3.5,SRID=4326;POINT(120.77134177909582 31.59328983914627)
10,-2.49694800376892,0.351626932621,10,5,3,0,1,1,4.59999990463257,SRID=4326;POINT(120.78150413662412 31.59230338812697)
11,-2.62797403335571,0.0234736353159,3,5,3,0,3,1,3.0,SRID=4326;POINT(120.77923393210287 31.59117106806314)
12,-2.62779784202576,-0.00988772232085,10,5,3,0,3,1,3.0,SRID=4326;POINT(120.77875530320745 31.59092883835055)
13,-2.63856983184814,-0.43630057573318,3,5,3,0,2,1,3.0,SRID=4326;POINT(120.77715800319241 31.59010602583714)
14,-2.62032294273376,0.75548940896988,10,5,3,0,2,1,3.0,SRID=4326;POINT(120.77682923471004 31.58993750269067)
15,-2.62530088424683,0.0544143691659,3,5,3,0,1,1,4.5,SRID=4326;POINT(120.77526274908675 31.58913456386828)
17,2.04089426994324,0.14062708616257,10,0,3,0,3,1,3.5,SRID=4326;POINT(120.78033212340544 31.58949252278295)
18,2.15995836257935,-0.13290543854237,3,5,3,0,3,1,3.5,SRID=4326;POINT(120.77924737640011 31.5908470837682)
19,2.16584229469299,0.03718680515885,10,5,3,0,3,1,3.5,SRID=4326;POINT(120.77893929740183 31.59122768982283)
