Id Lon Lat utmX utmY heading curvature mode SpeedMode EventMode OppositeSideMode LaneNum LaneSeq LaneWidth
1 121.21165827 31.2815173747 329764.831861 3462181.5787 -1.54847919941 0.0 0 3 0 3 2 1 3.0
2 121.21165827 31.2815173747 329764.831861 3462181.5787 -1.54847919941 0.0 0 3 2 3 2 1 3.0
3 121.211658389 31.2815126806 329764.834768 3462181.05815 -1.55510520935 0.0 0 3 0 3 2 1 3.0
4 121.211658464 31.2815078271 329764.833181 3462180.51999 -1.56020462513 0.0 0 3 0 3 2 1 3.0
5 121.211658516 31.2815027547 329764.829019 3462179.95761 -1.56554150581 0.0 0 3 0 3 2 1 3.0
6 121.21165854 31.281497986 329764.822672 3462179.42894 -1.57112443447 0.0 0 3 0 3 2 1 3.0
7 121.211658536 31.2814934711 329764.814199 3462178.92844 -1.57611727715 0.0 0 3 0 3 2 1 3.0
8 121.211658508 31.2814885487 329764.802675 3462178.38282 -1.58134174347 0.0 0 3 0 3 2 1 3.0
9 121.211658456 31.2814838947 329764.789434 3462177.86698 -1.58605539799 0.0 0 3 0 3 2 1 3.0
10 121.211658368 31.2814784938 329764.771334 3462177.2684 -1.5913797617 0.0 0 3 0 3 2 1 3.0
11 121.211658266 31.2814731721 329764.752027 3462176.67862 -1.59565711021 0.0 0 3 0 3 2 1 3.0
12 121.211658168 31.281468393 329764.734114 3462176.14898 -1.59855520725 0.0 0 3 0 3 2 1 3.0
13 121.211658062 31.2814630088 329764.714304 3462175.55228 -1.60049283504 0.0 0 3 0 3 2 1 3.0
14 121.211657943 31.2814573663 329764.692846 3462174.92697 -1.60219073296 0.0 0 3 0 3 2 1 3.0
15 121.211657837 31.2814514561 329764.67217 3462174.27196 -1.60223722458 0.0 0 3 0 3 2 1 3.0
16 121.21165777 31.2814466459 329764.657179 3462173.73882 -1.6010890007 0.0 0 3 0 3 2 1 3.0
17 121.211657715 31.2814418659 329764.643301 3462173.20902 -1.59966421127 0.0 0 3 0 3 2 1 3.0
18 121.211657663 31.2814366504 329764.62903 3462172.63093 -1.59810495377 0.0 0 3 0 3 2 1 3.0
19 121.211657626 31.2814314331 329764.61611 3462172.05263 -1.59627282619 0.0 0 3 0 3 2 1 3.0
20 121.211657615 31.2814259945 329764.605287 3462171.44975 -1.59342777729 0.0 0 3 0 3 2 1 3.0
21 121.211657631 31.2814204334 329764.596823 3462170.83325 -1.58995223045 0.0 0 3 0 3 2 1 3.0
22 121.211657676 31.2814145467 329764.590528 3462170.1806 -1.58604228497 0.0 0 3 0 3 2 1 3.0
23 121.211657752 31.2814084801 329764.586862 3462169.50798 -1.58189094067 0.0 0 3 0 3 2 1 3.0
