Id Lon Lat heading curvature mode SpeedMode EventMode OppositeSideMode LaneNum LaneSeq LaneWidth
1 120.77157713282958 31.59339646250101 0.20313738286495 -0.12980364263058 10 3 0 0 0 1 3.0
2 120.7715822730884 31.59339752118378 0.20248638093472 -0.00226978585124 10 3 0 0 0 1 3.0
3 120.77158764236071 31.59339854540139 0.20079338550568 0.00670990720391 10 3 0 0 0 1 3.0
4 120.77159299756956 31.59339948605415 0.19672338664532 0.00597748393193 10 3 0 0 0 1 3.0
5 120.7715985177751 31.59340043356585 0.19128939509392 0.00572729948908 10 3 0 0 0 1 3.0
6 120.77160379906785 31.59340129939145 0.18578338623047 0.00756527250633 10 3 0 0 0 1 3.0
7 120.7716091257555 31.59340213862265 0.18070739507675 0.0107777165249 10 3 0 0 0 1 3.0
8 120.77161443176718 31.59340296580991 0.1760273873806 0.01080478727818 10 3 0 0 0 1 3.0
9 120.7716199553657 31.59340377154163 0.17052039504051 0.01149837113917 10 3 0 0 0 1 3.0
10 120.77162567257118 31.59340463239379 0.16529738903046 0.01189333386719 10 3 0 0 0 1 3.0
11 120.77163106557826 31.5934054100954 0.16089338064194 0.00828941911459 10 3 0 0 0 1 3.0
12 120.77163635292018 31.59340612921314 0.15589639544487 0.01067090779543 10 3 0 0 0 1 3.0
13 120.77164208514955 31.59340691051026 0.15162338316441 0.00810324307531 10 3 0 0 0 1 3.0
14 120.7716473918832 31.59340763286293 0.14750438928604 0.0065197320655 10 3 0 0 0 1 3.0
15 120.77165285427347 31.59340835089722 0.14330539107323 0.00799630768597 10 3 0 0 0 1 3.0
16 120.77165847160613 31.59340906728868 0.13970439136028 0.00792591366917 10 3 0 0 0 1 3.0
17 120.77166423341613 31.59340977038295 0.13556538522243 0.00836685299873 10 3 0 0 0 1 3.0
18 120.77167008932888 31.5934104818982 0.13099838793278 0.00899856351316 10 3 0 0 0 1 3.0
19 120.77167569361254 31.59341115092004 0.12725238502026 0.0075196265243 10 3 0 0 0 1 3.0
20 120.7716810411203 31.59341178940484 0.12354138493538 0.00565268285573 10 3 0 0 0 1 3.0
21 120.77168643882162 31.59341240211314 0.12023938447237 0.00900895148516 10 3 0 0 0 1 3.0
22 120.77169187823677 31.59341299258138 0.11655438691378 0.00823478866369 10 3 0 0 0 1 3.0
23 120.77169728512641 31.59341359979003 0.11300338804722 0.00628133863211 10 3 0 0 0 1 3.0
24 120.77170268033511 31.59341417264713 0.10899239033461 0.00783761125058 10 3 0 0 0 1 3.0
25 120.77170805044136 31.59341471083734 0.10539539158344 0.00645257765427 10 3 0 0 0 1 3.0
26 120.77171372881674 31.59341527347907 0.10179138928652 0.00498234946281 10 3 0 0 0 1 3.0
27 120.77171904761764 31.59341579419045 0.09833239018917 0.00811997428536 10 3 0 0 0 1 3.0
28 120.77172434995994 31.59341629926957 0.09527438879013 0.00532938633114 10 3 0 0 0 1 3.0
29 120.77172962739489 31.59341673888321 0.09185639023781 0.0083217760548 10 3 0 0 0 1 3.0
30 120.77173488683202 31.59341720370171 0.08968538790941 0.00355869019404 10 3 0 0 0 1 3.0
31 120.77174077961678 31.59341770605804 0.08671938627958 0.00389034603722 10 3 0 0 0 1 3.0
32 120.77174663084537 31.59341821639066 0.08453539013863 0.00488674314693 10 3 0 0 0 1 3.0
33 120.77175216266347 31.59341872631715 0.0833363905549 0.00167409656569 10 3 0 0 0 1 3.0
34 120.7717580168754 31.59341922489011 0.0819243863225 0.00251968344674 10 3 0 0 0 1 3.0
35 120.77176386515761 31.59341976435188 0.08107639104128 0.00303009734489 10 3 0 0 0 1 3.0
36 120.77176974905139 31.59342030039335 0.08116339147091 -0.00345472618937 10 3 0 0 0 1 3.0
37 120.77177498407154 31.59342080481026 0.08201339095831 -0.00118847668637 10 3 0 0 0 1 3.0
38 120.77178025273587 31.59342130165681 0.0832683891058 -0.00295590865426 10 3 0 0 0 1 3.0
39 120.77178589688857 31.59342186699426 0.08512838929892 -0.00445835152641 10 3 0 0 0 1 3.0
40 120.7717912531172 31.59342240873076 0.08809738606215 -0.00654373085126 10 3 0 0 0 1 3.0
41 120.77179662372282 31.59342301713282 0.09191438555717 -0.00739546539262 10 3 0 0 0 1 3.0
42 120.77180201955767 31.59342366375322 0.09712138772011 -0.01114198472351 10 3 0 0 0 1 3.0
43 120.77180743588562 31.59342432979719 0.10246838629246 -0.0101619893685 10 3 0 0 0 1 3.0
44 120.77181288456327 31.59342504544831 0.10966739058495 -0.01636051759124 10 3 0 0 0 1 3.0
45 120.7718183235886 31.59342587608849 0.11766938865185 -0.01733871921897 10 3 0 0 0 1 3.0
46 120.77182409299643 31.59342683061565 0.12853439152241 -0.01878707297146 10 3 0 0 0 1 3.0
47 120.77182951246186 31.59342777757916 0.13941338658333 -0.02554084174335 10 3 0 0 0 1 3.0
48 120.77183490300112 31.59342883706413 0.15226738154888 -0.02389237843454 10 3 0 0 0 1 3.0
49 120.7718402677783 31.59342992697067 0.16381739079952 -0.02432201243937 10 3 0 0 0 1 3.0
50 120.77184564222532 31.59343103632159 0.17588739097118 -0.02020689845085 10 3 0 0 0 1 3.0
51 120.77185104597318 31.59343219532617 0.18725238740444 -0.02457529120147 10 3 0 0 0 1 3.0
52 120.77185641111869 31.59343345753221 0.19971339404583 -0.02278850972652 10 3 0 0 0 1 3.0
53 120.77186207028952 31.59343491858248 0.21475538611412 -0.02991534024477 10 3 0 0 0 1 3.0
54 120.77186738986887 31.59343637254191 0.23054638504982 -0.03100242093205 10 3 0 0 0 1 3.0
55 120.77187270570082 31.59343791301179 0.24867238104343 -0.03133356571198 10 3 0 0 0 1 3.0
56 120.77187799026426 31.59343954545419 0.26681038737297 -0.03852782398462 10 3 0 0 0 1 3.0
57 120.7718832212267 31.59344128112915 0.28565338253975 -0.03370315954089 10 3 0 0 0 1 3.0
58 120.77188839609632 31.59344312235371 0.30511939525604 -0.03651318326592 10 3 0 0 0 1 3.0
59 120.77189352145433 31.59344500628444 0.32376739382744 -0.03225391358137 10 3 0 0 0 1 3.0
60 120.77189895965476 31.59344711809402 0.34220138192177 -0.03268649429083 10 3 0 0 0 1 3.0
61 120.7719040492574 31.59344918007132 0.35890039801598 -0.02782147191465 10 3 0 0 0 1 3.0
62 120.77190916617381 31.59345124608726 0.37364238500595 -0.0276512503624 10 3 0 0 0 1 3.0
63 120.77191424488458 31.59345341738204 0.38789838552475 -0.02361500449479 10 3 0 0 0 1 3.0
64 120.77191938068479 31.59345563735608 0.39979138970375 -0.02021188661456 10 3 0 0 0 1 3.0
65 120.7719245368487 31.59345782970571 0.40919438004494 -0.01453018840402 10 3 0 0 0 1 3.0
66 120.77192967381758 31.59346004061285 0.41674438118935 -0.01261047553271 10 3 0 0 0 1 3.0
67 120.77193452006199 31.5934621275588 0.42144438624382 -0.00852972548455 10 3 0 0 0 1 3.0
68 120.7719397075085 31.59346433147436 0.42580738663673 -0.00783544592559 10 3 0 0 0 1 3.0
