Id l_id Lon Lat heading curvature mode SpeedMode EventMode OppositeSideMode LaneNum LaneSeq LaneWidth
1 1 120.76130673240134 31.59722589684668 0.64694041013718 -0.28863340616226 10 3 3 0 0 1 3.5
2 1 120.76131107083307 31.59722850804929 0.62766140699387 0.04502640292048 10 3 0 0 0 1 3.5
3 1 120.76131573830422 31.59723092118576 0.60464036464691 0.04717595875263 10 3 0 0 0 1 3.5
4 1 120.7613204680171 31.59723324876201 0.58075839281082 0.04749117791653 10 3 0 0 0 1 3.5
5 1 120.76132530276563 31.59723546763329 0.55617237091064 0.05041964352131 10 3 0 0 0 1 3.5
6 1 120.76133010095127 31.59723751944543 0.5308403968811 0.05307580903172 10 3 0 0 0 1 3.5
7 1 120.7613350459435 31.59723947294927 0.50476139783859 0.05097952857614 10 3 0 0 0 1 3.5
8 1 120.761340207889 31.59724140979705 0.47904139757156 0.04867881163955 10 3 0 0 0 1 3.5
9 1 120.76134549716038 31.59724327992399 0.454584389925 0.04530834034085 10 3 0 0 0 1 3.5
10 1 120.76135059992144 31.59724497540801 0.43214437365532 0.04168222099543 10 3 0 0 0 1 3.5
11 1 120.76135592997504 31.59724668076153 0.40974938869476 0.04063620045781 10 3 0 0 0 1 3.5
12 1 120.76136092611434 31.59724817414569 0.38939440250397 0.04049707949162 10 3 0 0 0 1 3.5
13 1 120.76136636752086 31.59724975503334 0.36889538168907 0.03751512616873 10 3 0 0 0 1 3.5
14 1 120.76137168851085 31.59725121839418 0.34993240237236 0.03228344768286 10 3 0 0 0 1 3.5
15 1 120.76137717782204 31.597252611817 0.33019238710403 0.03382286056876 10 3 0 0 0 1 3.5
16 1 120.76138281821703 31.59725398706813 0.31347039341927 0.02924458123744 10 3 0 0 0 1 3.5
17 1 120.76138794198572 31.5972552080167 0.29868638515472 0.02768145501614 10 3 0 0 0 1 3.5
18 1 120.76139320149557 31.5972563692375 0.28412437438965 0.02877156436443 10 3 0 0 0 1 3.5
19 1 120.76139850270957 31.59725755402303 0.2726773917675 0.0193880032748 10 3 0 0 0 1 3.5
20 1 120.76140412365984 31.59725879520285 0.2626433968544 0.01856395415962 10 3 0 0 0 1 3.5
21 1 120.76140936362329 31.59725988060035 0.25295239686966 0.01836078055203 10 3 0 0 0 1 3.5
22 1 120.76141455651212 31.59726093731655 0.24423138797283 0.01424679439515 10 3 0 0 0 1 3.5
23 1 120.76141968257114 31.59726198642518 0.23794938623905 0.01108147669584 10 3 0 0 0 1 3.5
24 1 120.76142538618178 31.59726316201864 0.23219439387321 0.01113505661488 10 3 0 0 0 1 3.5
25 1 120.76143103489498 31.59726429281585 0.22727638483047 0.00723192375153 10 3 0 0 0 1 3.5
26 1 120.76143661369657 31.59726542133685 0.22284938395023 0.00751776341349 10 3 0 0 0 1 3.5
