Id Lon Lat heading curvature mode SpeedMode EventMode LaneNum LaneSeq LaneWidth
0 120.77527433719897 31.58909368596583 0.58757537603378 -1.05984663963318 10 5 0 1 1 4.65000009536743
1 120.77527438312048 31.58909370754780 0.58735436201096 0.33534964919090 10 5 3 1 1 4.65000009536743
2 120.77527881442258 31.58909623693837 0.58383941650391 0.01144650019705 10 5 0 1 1 4.65000009536743
3 120.77528339873136 31.58909884368039 0.57878941297531 0.00650867028162 10 5 0 1 1 4.65000009536743
4 120.77528807387726 31.58910148079584 0.57317841053009 0.01102891098708 10 5 0 1 1 4.65000009536743
5 120.77529283312448 31.58910413852178 0.56684237718582 0.01599100418389 10 5 0 1 1 4.65000009536743
6 120.77529727936350 31.58910662425105 0.56027239561081 0.01247861515731 10 5 0 1 1 4.65000009536743
7 120.77530175213741 31.58910909794824 0.55347537994385 0.01529865991324 10 5 0 1 1 4.65000009536743
8 120.77530636058617 31.58911160832117 0.54584437608719 0.01350182294846 10 5 0 1 1 4.65000009536743
9 120.77531105225913 31.58911408678459 0.53784936666489 0.01607798784971 10 5 0 1 1 4.65000009536743
10 120.77531573989265 31.58911653380409 0.53027737140656 0.01480185426772 10 5 0 1 1 4.65000009536743
11 120.77532037563478 31.58911892533827 0.52280539274216 0.01551570370793 10 5 0 1 1 4.65000009536743
12 120.77532493083251 31.58912124756224 0.51641440391541 0.01329080667347 10 5 0 1 1 4.65000009536743
13 120.77532963318664 31.58912361092110 0.50993341207504 0.01179589796811 10 5 0 1 1 4.65000009536743
14 120.77533475489791 31.58912621692090 0.50415241718292 0.01177839096636 10 5 0 1 1 4.65000009536743
15 120.77533971254390 31.58912874637966 0.50098240375519 0.00506924232468 10 5 0 1 1 4.65000009536743
16 120.77534446520804 31.58913118939665 0.49890637397766 0.00324802985415 10 5 0 1 1 4.65000009536743
17 120.77534899035655 31.58913355569020 0.49809837341309 0.00275654252619 10 5 0 1 1 4.65000009536743
18 120.77535361115871 31.58913597952158 0.49772837758064 0.00122818874661 10 5 0 1 1 4.65000009536743
19 120.77535867999232 31.58913864878449 0.49826639890671 0.00007894024020 10 5 0 1 1 4.65000009536743
20 120.77536351485877 31.58914117632041 0.49838340282440 0.00164765422232 10 5 0 1 1 4.65000009536743
21 120.77536842453311 31.58914377498789 0.49893337488174 -0.00132145779207 10 5 0 1 1 4.65000009536743
22 120.77537341582280 31.58914640636236 0.49943938851357 0.00031312418287 10 5 0 1 1 4.65000009536743
23 120.77537812484046 31.58914887024576 0.49956840276718 0.00151278497651 10 5 0 1 1 4.65000009536743
24 120.77538324521164 31.58915157169448 0.49999839067459 -0.00119009148329 10 5 0 1 1 4.65000009536743
25 120.77538845677299 31.58915427938973 0.50018936395645 0.00145216542296 10 5 0 1 1 4.65000009536743
26 120.77539333578378 31.58915683082930 0.49970740079880 0.00145007960964 10 5 0 1 1 4.65000009536743
27 120.77539787941133 31.58915918602161 0.49909737706184 0.00105868163519 10 5 0 1 1 4.65000009536743
28 120.77540286133862 31.58916173768333 0.49878737330437 0.00056476372993 10 5 0 1 1 4.65000009536743
29 120.77540747262813 31.58916412964835 0.49884340167046 -0.00002665661668 10 5 0 1 1 4.65000009536743
30 120.77541210422378 31.58916653082624 0.49902537465096 -0.00078471086454 10 5 0 1 1 4.65000009536743
31 120.77541713924076 31.58916913824464 0.49935537576675 -0.00096530461451 10 5 0 1 1 4.65000009536743
32 120.77542178677568 31.58917153523825 0.49937239289284 0.00059049553238 10 5 0 1 1 4.65000009536743
33 120.77542642026350 31.58917393424598 0.49922338128090 0.00041852935101 10 5 0 1 1 4.65000009536743
34 120.77543105359477 31.58917633163015 0.49939438700676 0.00004317559433 10 5 0 1 1 4.65000009536743
35 120.77543606718949 31.58917892261585 0.49905937910080 0.00139223237056 10 5 0 1 1 4.65000009536743
36 120.77544069947636 31.58918129463319 0.49866437911987 0.00094249960966 10 5 0 1 1 4.65000009536743
37 120.77544532837607 31.58918365916096 0.49803239107132 0.00219263229519 10 5 0 1 1 4.65000009536743
38 120.77545034794009 31.58918620699772 0.49758237600327 0.00076296040788 10 5 0 1 1 4.65000009536743
39 120.77545496289039 31.58918855943286 0.49720939993858 -0.00008343248192 10 5 0 1 1 4.65000009536743
40 120.77545956401825 31.58919091279479 0.49706038832664 -0.00020294303249 10 5 0 1 1 4.65000009536743
41 120.77546454968251 31.58919344695373 0.49709838628769 0.00083882891340 10 5 0 1 1 4.65000009536743
42 120.77546914066561 31.58919577904442 0.49707940220833 0.00090028444538 10 5 0 1 1 4.65000009536743
43 120.77547371733370 31.58919810762150 0.49666538834572 0.00025725906016 10 5 0 1 1 4.65000009536743
44 120.77547866907670 31.58920060991272 0.49613839387894 0.00180482515134 10 5 0 1 1 4.65000009536743
45 120.77548323374842 31.58920291211944 0.49517539143562 0.00339019903913 10 5 0 1 1 4.65000009536743
46 120.77548779790833 31.58920520287480 0.49411138892174 0.00081273395335 10 5 0 1 1 4.65000009536743
47 120.77549235261867 31.58920747948470 0.49354639649391 0.00075677392306 10 5 0 1 1 4.65000009536743
48 120.77549728356942 31.58920993688367 0.49279239773750 0.00178811966907 10 5 0 1 1 4.65000009536743
49 120.77550257120407 31.58921257889621 0.49202939867973 0.00160595658235 10 5 0 1 1 4.65000009536743
50 120.77550786208738 31.58921520411015 0.49146038293839 0.00078738882439 10 5 0 1 1 4.65000009536743
51 120.77551276497509 31.58921762027787 0.49066337943077 0.00134456425440 10 5 0 1 1 4.65000009536743
52 120.77551802698920 31.58922022211363 0.48992440104485 0.00254596793093 10 5 0 1 1 4.65000009536743
