0,-0.92945063114166,-0.13719312846661,10,3,0,2,0,3.5,SRID=4326;POINT(121.20221740364276 31.29272969931234)
1,-0.92950063943863,-0.00287553039379,10,3,0,2,0,3.5,SRID=4326;POINT(121.20222072023148 31.29272606956477)
2,-0.92970561981201,0.0016106396215,10,3,0,2,0,3.5,SRID=4326;POINT(121.20222405419689 31.29272236501589)
3,-0.93018358945847,-0.00376654416323,10,3,0,2,0,3.5,SRID=4326;POINT(121.20222732773557 31.29271876386659)
4,-0.93008762598038,-0.00315742590465,10,3,0,2,0,3.5,SRID=4326;POINT(121.2022305697149 31.29271512621154)
5,-0.93024063110352,-0.00367361144163,10,3,0,2,0,3.5,SRID=4326;POINT(121.20223388505975 31.29271148883117)
6,-0.93022358417511,0.00229342398234,10,3,0,2,0,3.5,SRID=4326;POINT(121.2022373316799 31.29270769877828)
7,-0.92977261543274,-0.00112118385732,10,3,0,2,0,3.5,SRID=4326;POINT(121.20224066236813 31.29270404978976)
8,-0.92848461866379,-0.00606862036511,10,3,0,2,0,3.5,SRID=4326;POINT(121.20224408651283 31.29270038628708)
9,-0.92760962247849,0.00328864506446,10,3,0,2,0,3.5,SRID=4326;POINT(121.20224742859385 31.29269675459719)
10,-0.92601960897446,-0.00759334629402,10,3,0,2,0,3.5,SRID=4326;POINT(121.20225089201298 31.29269306054159)
11,-0.92396062612534,-0.00372160086408,10,3,0,2,0,3.5,SRID=4326;POINT(121.20225427615995 31.29268941239792)
12,-0.92243260145187,-0.00322837964632,10,3,0,2,0,3.5,SRID=4326;POINT(121.20225761628663 31.292685866693)
13,-0.92003059387207,-0.00903617683798,10,3,0,2,0,3.5,SRID=4326;POINT(121.20226125113795 31.29268210293828)
14,-0.91821658611298,-0.003778624814,10,3,0,2,0,3.5,SRID=4326;POINT(121.20226478199807 31.2926783811369)
15,-0.91467362642288,-0.00707795890048,10,3,0,2,0,3.5,SRID=4326;POINT(121.20226829294367 31.29267473678001)
16,-0.91288560628891,-0.00430210120976,10,3,0,2,0,3.5,SRID=4326;POINT(121.20227171674836 31.29267116582153)
17,-0.91041558980942,-0.00115951767657,10,3,0,2,0,3.5,SRID=4326;POINT(121.2022753869018 31.29266737291508)
18,-0.90910559892654,-0.0057751336135,10,3,0,2,0,3.5,SRID=4326;POINT(121.20227893245853 31.29266366680986)
19,-0.9078876376152,-0.00080352125224,10,3,0,2,0,3.5,SRID=4326;POINT(121.20228237720897 31.29266010684992)
20,-0.90710061788559,-0.00039327918785,10,3,0,2,0,3.5,SRID=4326;POINT(121.20228603396123 31.29265629012218)
21,-0.90608459711075,-0.00415472406894,10,3,0,2,0,3.5,SRID=4326;POINT(121.20228959704336 31.29265258280727)
22,-0.90548759698868,-0.00194126158021,10,3,0,2,0,3.5,SRID=4326;POINT(121.20229301674664 31.29264900735026)
23,-0.90493261814117,0.00172424502671,10,3,0,2,0,3.5,SRID=4326;POINT(121.20229666563739 31.29264521844696)
24,-0.90420562028885,0.00198973855004,10,3,0,2,0,3.5,SRID=4326;POINT(121.20230012790458 31.29264161540486)
25,-0.90482860803604,-0.00142920855433,10,3,0,2,0,3.5,SRID=4326;POINT(121.20230375830191 31.29263780219004)
26,-0.9046306014061,0.00303723919205,10,3,0,2,0,3.5,SRID=4326;POINT(121.20230725480371 31.29263415992138)
27,-0.90520060062408,0.00027408683673,10,3,0,2,0,3.5,SRID=4326;POINT(121.2023109563697 31.29263031671785)
28,-0.90532660484314,0.00113225635141,10,3,0,2,0,3.5,SRID=4326;POINT(121.20231449035047 31.29262664475063)
29,-0.90490460395813,-0.00412765704095,10,3,0,2,0,3.5,SRID=4326;POINT(121.20231783992637 31.29262314922102)
30,-0.90479463338852,-0.00027984962799,10,3,0,2,0,3.5,SRID=4326;POINT(121.20232121625882 31.29261964307624)
31,-0.90515661239624,-0.00048021753901,10,3,0,2,0,3.5,SRID=4326;POINT(121.2023247895016 31.29261593629801)
32,-0.9049876332283,-0.00061327259755,10,3,0,2,0,3.5,SRID=4326;POINT(121.20232818915437 31.29261241796451)
33,-0.90468263626099,-9.475705883e-05,10,3,0,2,0,3.5,SRID=4326;POINT(121.20233176781383 31.29260870363665)
34,-0.90462958812714,-0.00038836768363,10,3,0,2,0,3.5,SRID=4326;POINT(121.20233515081088 31.29260517839276)
35,-0.9044446349144,-0.00052843656158,10,3,0,2,0,3.5,SRID=4326;POINT(121.20233874425892 31.29260146445477)
36,-0.90462058782578,0.00110703357495,10,3,0,2,0,3.5,SRID=4326;POINT(121.20234213726229 31.29259794587949)
37,-0.90472263097763,-0.0023165284656,10,3,0,2,0,3.5,SRID=4326;POINT(121.20234570291595 31.29259423505933)
38,-0.90514463186264,-0.0011076402152,10,3,0,2,0,3.5,SRID=4326;POINT(121.20234907063171 31.29259073775076)
39,-0.9046066403389,0.00132013682742,10,3,0,2,0,3.5,SRID=4326;POINT(121.2023524674212 31.29258724585978)
40,-0.90578359365463,0.00086198694771,10,3,0,2,0,3.5,SRID=4326;POINT(121.20235595271721 31.2925835530785)
41,-0.90539962053299,-0.00105805299245,10,3,0,2,0,3.5,SRID=4326;POINT(121.20235961504528 31.29257972220648)
42,-0.90644860267639,0.00470159715042,10,3,0,2,0,3.5,SRID=4326;POINT(121.20236305697782 31.29257612866601)
43,-0.90715259313583,-0.00319819315337,10,3,0,2,0,3.5,SRID=4326;POINT(121.20236664385347 31.29257242789963)
44,-0.90732562541962,0.00218056794256,10,3,0,2,0,3.5,SRID=4326;POINT(121.2023699854974 31.29256892107874)
