122,-0.90294063091278,-0.71679723262787,3,3,3,3,0,3.5,SRID=4326;POINT(121.20263147107978 31.29228148335153)
218,-2.42335486412048,-0.01191955152899,3,3,3,2,0,3.5,SRID=4326;POINT(121.20240517682316 31.29193867627893)
422,-2.42912888526917,0.24260894954205,3,3,3,3,0,3.5,SRID=4326;POINT(121.20163015674807 31.29132455481423)
563,0.71760541200638,-0.01022579427809,3,3,3,2,0,3.5,SRID=4326;POINT(121.20205375931631 31.29152829841117)
736,0.73588138818741,-0.09198608249426,3,3,3,3,0,3.5,SRID=4326;POINT(121.20271789617969 31.29204571026166)
893,0.73446536064148,-0.01861061900854,3,3,3,2,0,3.5,SRID=4326;POINT(121.20336296195454 31.29255371994426)
1056,-2.42136096954346,0.01303968485445,3,3,3,3,0,3.5,SRID=4326;POINT(121.20290234166322 31.29234803190382)
1208,2.24191641807556,-0.43587291240692,3,3,3,2,0,3.5,SRID=4326;POINT(121.20232461899032 31.29277123329816)
1293,-0.6813086271286,-0.24659678339958,3,3,3,2,0,3.5,SRID=4326;POINT(121.2032322248965 31.29280284273579)
1553,-2.46099281311035,0.00599842099473,3,3,3,2,0,3.5,SRID=4326;POINT(121.20340070424051 31.29186393913499)
1698,-2.45814085006714,-0.21880194544792,3,3,3,1,0,3.5,SRID=4326;POINT(121.20277200510684 31.29142084682062)
1872,-2.44403100013733,0.37296122312546,3,3,3,2,0,3.5,SRID=4326;POINT(121.20201934709642 31.29088905313685)
1956,2.22509741783142,0.00534541392699,3,3,3,2,0,3.5,SRID=4326;POINT(121.20170214159485 31.29110163625526)
2202,0.91079539060593,0.00067584106,3,3,3,2,0,3.5,SRID=4326;POINT(121.20153215412138 31.29218078018233)
2350,0.87724137306213,0.00479366537184,3,3,3,2,0,3.5,SRID=4326;POINT(121.2020502804197 31.29273399248874)
2653,2.23178648948669,-0.00302729010582,3,3,3,3,0,3.5,SRID=4326;POINT(121.20299514221975 31.29209940053598)
2835,2.2323215007782,-0.00467794714496,3,3,3,2,0,3.5,SRID=4326;POINT(121.20232929576136 31.29276703638043)
2881,0.87283337116241,-0.16577675938606,3,3,3,2,0,3.5,SRID=4326;POINT(121.20205440580129 31.29274093565419)
2930,-0.89213460683823,0.01557729858905,3,3,3,2,0,3.5,SRID=4326;POINT(121.20263498123289 31.29227881751151)
